model,condition,raw_bytes,gzip_ratio,lzma_ratio,zstd22_ratio,brotli_ratio,trigram_entropy,pentgram_entropy,mattr_w200,log_len,contrast
claude-haiku-4-5,standard_cot,1552,0.5599226804123711,0.6314432989690721,0.5618556701030928,0.42010309278350516,9.389691471373677,10.263937465893369,0.7745454545454546,7.347299700743164,-1.0
claude-haiku-4-5,standard_cot,1362,0.5712187958883994,0.6490455212922174,0.5734214390602056,0.4221732745961821,9.39388462202979,10.10947201643257,0.7941666666666666,7.216709486709457,-1.0
grok-4-1-fast-reasoning,narrative_cot,3519,0.5001420858198352,0.5285592497868713,0.4950269963057687,0.40068201193520886,9.92896122515224,11.170634572103495,0.7684615384615384,8.165932137321585,1.0
gpt-5.4-nano,standard_cot,1921,0.5195210827693909,0.5705361790733993,0.5195210827693909,0.40447683498178033,9.327178278092507,10.288714103389403,0.7497159090909093,7.560601162768557,-1.0
grok-4-1-fast-reasoning,narrative_cot,4751,0.4721111344980004,0.48410860871395495,0.45927173226689116,0.357398442433172,10.080432170895874,11.403489787572061,0.7570128479657388,8.46611040118692,1.0
claude-haiku-4-5,standard_cot,1271,0.5751376868607396,0.6640440597954367,0.5759244689221086,0.4303697875688434,9.208136943829397,10.05686896121859,0.77125,7.147559271189454,-1.0
claude-haiku-4-5,narrative_cot,7990,0.44618272841051315,0.4485607008760951,0.43704630788485604,0.35181476846057574,10.32130914529918,11.972523360686225,0.7565365853658537,8.98594603876032,1.0
claude-haiku-4-5,standard_cot,1562,0.5428937259923176,0.6120358514724712,0.5448143405889885,0.4167733674775928,9.340658405307195,10.213331835005581,0.7271,7.3537223303996315,-1.0
gpt-5.4-nano,standard_cot,2209,0.5264825712992304,0.5758261656858307,0.523766410140335,0.3929379809868719,9.639614570445945,10.566951800700501,0.7873140495867769,7.700295203420117,-1.0
claude-sonnet-4-6,narrative_cot,9188,0.4218545929473226,0.42054854157596866,0.4063996517196343,0.3346756639094471,10.107399205015067,11.951256296872927,0.7135347551342812,9.125653563808989,1.0
gpt-5.4-nano,standard_cot,1882,0.5472901168969182,0.6036131774707758,0.5488841657810839,0.43092454835281613,9.533096668500361,10.447347156888904,0.7964285714285714,7.540090320145325,-1.0
claude-haiku-4-5,narrative_cot,7857,0.44889907089219805,0.4505536464299351,0.43757159221076747,0.3530609647448135,10.310539519952824,11.997490218824815,0.7727876569037658,8.969160133175821,1.0
claude-haiku-4-5,narrative_cot,7037,0.465112974278812,0.4706551087110985,0.4564445076026716,0.37174932499644736,10.32544302854433,11.90518650357819,0.7978327444051826,8.85893722196655,1.0
gpt-5.4-nano,standard_cot,3018,0.5089463220675944,0.5420808482438702,0.5092776673293572,0.3929754804506296,9.814728578652925,10.945001309738613,0.7457904411764706,8.012349639327795,-1.0
claude-haiku-4-5,standard_cot,1413,0.556970983722576,0.6312809624911536,0.5590941259731068,0.42321302193913657,9.289455196295886,10.063707201397902,0.763,7.253470382684528,-1.0
gpt-5.4-nano,standard_cot,2245,0.4935412026726058,0.5363028953229398,0.49175946547884186,0.3888641425389755,9.336137368817717,10.399560784541276,0.7203759398496241,7.716460800176355,-1.0
grok-4-1-fast-reasoning,standard_cot,2860,0.5339160839160839,0.5622377622377622,0.5258741258741259,0.4160839160839161,9.922064455903518,11.018682316160184,0.7931194690265487,7.958576903813898,-1.0
gpt-5.4-nano,narrative_cot,9677,0.41717474423891704,0.41541800144672936,0.4046708690709931,0.33812131859047223,10.218017708131578,12.054663881651884,0.7324663173652695,9.177507214880942,1.0
claude-haiku-4-5,standard_cot,1442,0.5624133148404993,0.6380027739251041,0.5644937586685159,0.427877947295423,9.309968407822721,10.16355362892845,0.7573214285714285,7.273786317844895,-1.0
gpt-5.4-nano,narrative_cot,12297,0.4214849150199236,0.4157111490607465,0.40603399203057655,0.33861917540863623,10.298918910481428,12.352003348008196,0.7531661891117479,9.417110609172447,1.0
claude-sonnet-4-6,standard_cot,1591,0.5210559396605908,0.590823381521056,0.5179132620993087,0.3538654934003771,9.26138038936923,10.191340991658219,0.7585714285714287,7.372118028337787,-1.0
gpt-5.4-nano,narrative_cot,7935,0.43137996219281666,0.4345305608065532,0.4212980466288595,0.34820415879017014,10.13988777804554,11.85892136447621,0.7426654240447343,8.97903863296051,1.0
